member_casual,total_rides,avg_ride_minutes,median_ride_minutes,rides_with_valid_distance,avg_distance_km,median_distance_km,loop_rides,pct_loop_rides
member,3667304,12.3,8.7,3667217,2.28,1.65,94835,2.59
casual,2012836,19.6,11.9,2012670,2.23,1.67,144905,7.2
